IDS_PROPITEMETC_INC_000000	Bravery Set
IDS_PROPITEMETC_INC_000117	INT und STA+
IDS_PROPITEMETC_INC_000118	INT und STA+
IDS_PROPITEMETC_INC_000119	STR+
IDS_PROPITEMETC_INC_000120	DEX+
IDS_PROPITEMETC_INC_000121	INT+
IDS_PROPITEMETC_INC_000122	STA+
IDS_PROPITEMETC_INC_000123	STR und STA+
IDS_PROPITEMETC_INC_000124	STR und STA+
IDS_PROPITEMETC_INC_000125	STR und DEX+
IDS_PROPITEMETC_INC_000126	STR und DEX+
IDS_PROPITEMETC_INC_000127	DEX und STA+
IDS_PROPITEMETC_INC_000128	DEX und STA+
IDS_PROPITEMETC_INC_000129	INT und STA+
IDS_PROPITEMETC_INC_000130	INT und STA+
IDS_PROPITEMETC_INC_000131	Knighert Set (M)
IDS_PROPITEMETC_INC_000132	Knighert Set (F)
IDS_PROPITEMETC_INC_000133	Blain Set (M)
IDS_PROPITEMETC_INC_000134	Blain Set (F)
IDS_PROPITEMETC_INC_000135	Jesis Set (M)
IDS_PROPITEMETC_INC_000136	Jesis Set (F)
IDS_PROPITEMETC_INC_000137	Raze Set (M)
IDS_PROPITEMETC_INC_000138	Raze Set (F)
IDS_PROPITEMETC_INC_000139	Rimyth Set (M)
IDS_PROPITEMETC_INC_000140	Rimyth Set (F)
IDS_PROPITEMETC_INC_000141	Billporon Set (M)
IDS_PROPITEMETC_INC_000142	Billporon Set (F)
IDS_PROPITEMETC_INC_000143	Psykon Set (M)
IDS_PROPITEMETC_INC_000144	Psykon Set (F)
IDS_PROPITEMETC_INC_000145	Ellis Set (M)
IDS_PROPITEMETC_INC_000146	Ellis Set (F)
IDS_PROPITEMETC_INC_000147	Cruentos Set (M)
IDS_PROPITEMETC_INC_000148	Cruentos Set (F)
IDS_PROPITEMETC_INC_000149	Nox Set (M)
IDS_PROPITEMETC_INC_000150	Nox Set (F)
IDS_PROPITEMETC_INC_000151	Velox Set (M)
IDS_PROPITEMETC_INC_000152	Velox Set (F)
IDS_PROPITEMETC_INC_000153	Acer Set (M)
IDS_PROPITEMETC_INC_000154	Acer Set (F)
IDS_PROPITEMETC_INC_000155	Revenio Set (M)
IDS_PROPITEMETC_INC_000156	Revenio Set (F)
IDS_PROPITEMETC_INC_000157	Grim Set (M)
IDS_PROPITEMETC_INC_000158	Grim Set (F)
IDS_PROPITEMETC_INC_000159	Twilight Set (M)
IDS_PROPITEMETC_INC_000160	Twilight Set (F)
IDS_PROPITEMETC_INC_000161	Nanemvis Set (M)
IDS_PROPITEMETC_INC_000162	Nanemvis Set (F)
IDS_PROPITEMETC_INC_000163	Dryad Knight Set (M)
IDS_PROPITEMETC_INC_000164	Dryad Knight Set (F)
IDS_PROPITEMETC_INC_000165	Dryad Blade Set (M)
IDS_PROPITEMETC_INC_000166	Dryad Blade Set (F)
IDS_PROPITEMETC_INC_000167	Dryad Jester Set (M)
IDS_PROPITEMETC_INC_000168	Dryad Jester Set (F)
IDS_PROPITEMETC_INC_000169	Dryad Ranger Set (M)
IDS_PROPITEMETC_INC_000170	Dryad Ranger Set (F)
IDS_PROPITEMETC_INC_000171	Dryad Ringmaster Set (M)
IDS_PROPITEMETC_INC_000172	Dryad Ringmaster Set (F)
IDS_PROPITEMETC_INC_000173	Dryad Billposter Set(M)
IDS_PROPITEMETC_INC_000174	Dryad Billposter Set (F)
IDS_PROPITEMETC_INC_000175	Dryad Psykeeper Set (M)
IDS_PROPITEMETC_INC_000176	Dryad Psykeeper Set (F)
IDS_PROPITEMETC_INC_000177	Dryad Elementor Set (M)
IDS_PROPITEMETC_INC_000178	Dryad Elementor Set (F)
IDS_PROPITEMETC_INC_000179	Soul Ruby Set
IDS_PROPITEMETC_INC_000180	Soul Emerald Set
IDS_PROPITEMETC_INC_000181	Soul Sapphire Set
IDS_PROPITEMETC_INC_000182	Soul Diamond Set
IDS_PROPITEMETC_INC_000183	Kalgas Templar (M) Set
IDS_PROPITEMETC_INC_000184	KalgasTemplar (F) Set
IDS_PROPITEMETC_INC_000185	Kalgas Slayer (M) Set
IDS_PROPITEMETC_INC_000186	Kalgas Slayer (F) Set
IDS_PROPITEMETC_INC_000187	Kalgas Harlequin (M) Set
IDS_PROPITEMETC_INC_000188	Kalgas Harlequin (F) Set
IDS_PROPITEMETC_INC_000189	Kalgas Crackshooter (M) Set
IDS_PROPITEMETC_INC_000190	Kalgas Crackshooter (F) Set
IDS_PROPITEMETC_INC_000191	Kalgas Seraph (M) Set
IDS_PROPITEMETC_INC_000192	Kalgas Seraph (F) Set
IDS_PROPITEMETC_INC_000193	Kalgas Force Master (M) Set
IDS_PROPITEMETC_INC_000194	Kalgas Force Master (F) Set
IDS_PROPITEMETC_INC_000195	Kalgas Mentalist (M) Set
IDS_PROPITEMETC_INC_000196	Kalgas Mentalist (F) Set
IDS_PROPITEMETC_INC_000197	Kalgas Arcanist (M) Set
IDS_PROPITEMETC_INC_000198	Kalgas Arcanist (F) Set
IDS_PROPITEMETC_INC_000199	Rudolf's Accessory box
IDS_PROPITEMETC_INC_000200	Set des Unsterblichen Drachen(M)
IDS_PROPITEMETC_INC_000201	Set des Unsterblichen Drachen (F)
IDS_PROPITEMETC_INC_000202	Set des Wilden Drachen (M)
IDS_PROPITEMETC_INC_000203	Set  des Wilden Drachen(F)
IDS_PROPITEMETC_INC_000204	Set des Weisen Drachen (M)
IDS_PROPITEMETC_INC_000205	Set des Weisen Drachen (F)
IDS_PROPITEMETC_INC_000206	Midsummer Night's Dream Set
IDS_PROPITEMETC_INC_000207	Blessed Christmas Set
IDS_PROPITEMETC_INC_000208	Rings of Power Set
IDS_PROPITEMETC_INC_000209	Christmas Gift Set
IDS_PROPITEMETC_INC_000210	Joker Set (M)
IDS_PROPITEMETC_INC_000211	Joker Set (F)
IDS_PROPITEMETC_INC_000212	Christmas Fairy Accessory Set
IDS_PROPITEMETC_INC_000213	Valentins-Ringe Set
IDS_PROPITEMETC_INC_000214	Casino Suit (M)
IDS_PROPITEMETC_INC_000215	Casino Dress (F)
IDS_PROPITEMETC_INC_000216	Casual suit(M) 2015
IDS_PROPITEMETC_INC_000217	Casual suit(F) 2015
IDS_PROPITEMETC_INC_000218	Traditional German Outfit Set(M) 2015
IDS_PROPITEMETC_INC_000219	Traditional German Outfit Set(F) 2015
IDS_PROPITEMETC_INC_000220	Vampire Set (M) 2015
IDS_PROPITEMETC_INC_000221	Vampire Set (F) 2015
IDS_PROPITEMETC_INC_000222	2015 Armor of the Setting Sun Set (M)
IDS_PROPITEMETC_INC_000223	2015 Armor of the Setting Sun Set (F)
IDS_PROPITEMETC_INC_000224	2015 Armor of the Rising Sun Set (M)
IDS_PROPITEMETC_INC_000225	2015 Armor of the Rising Sun Set (F)
IDS_PROPITEMETC_INC_000226	2015 Ring Set
IDS_PROPITEMETC_INC_000227	2015 Rudolph Set(M)
IDS_PROPITEMETC_INC_000228	2015 Rudolph Set(F)
IDS_PROPITEMETC_INC_000229	2015 Christmas Set (M)
IDS_PROPITEMETC_INC_000230	2015 Christmas Set (F)
IDS_PROPITEMETC_INC_000231	Christmas Dinner Set
IDS_PROPITEMETC_INC_000232	Luxurious Ski Set (F)
IDS_PROPITEMETC_INC_000233	Luxurious Ski Set (M)
IDS_PROPITEMETC_INC_000234	Ninja Set
IDS_PROPITEMETC_INC_000235	Ninja Set
IDS_PROPITEMETC_INC_000236	Samurai Set
IDS_PROPITEMETC_INC_000237	Samurai Set
IDS_PROPITEMETC_INC_000238	New Year Set
IDS_PROPITEMETC_INC_000239	New Year Set
IDS_PROPITEMETC_INC_000240	Valentine's Day Set
IDS_PROPITEMETC_INC_000241	Valentine's Day Set
IDS_PROPITEMETC_INC_000242	Bridegroom Set
IDS_PROPITEMETC_INC_000243	Bridegroom Set
IDS_PROPITEMETC_INC_000244	Bridegroom Set
IDS_PROPITEMETC_INC_000245	Bridegroom Set
IDS_PROPITEMETC_INC_000246	Sul Bim Set 
IDS_PROPITEMETC_INC_000247	Sul Bim Set
IDS_PROPITEMETC_INC_000248	Cruentus Set (M)
IDS_PROPITEMETC_INC_000249	Cruentus Set (F)
IDS_PROPITEMETC_INC_000250	Nox Set (M)
IDS_PROPITEMETC_INC_000251	Nox Set (F)
IDS_PROPITEMETC_INC_000252	Velox Set (M)
IDS_PROPITEMETC_INC_000253	Velox Set (F)
IDS_PROPITEMETC_INC_000254	Acer Set (M)
IDS_PROPITEMETC_INC_000255	Acer Set (F)
IDS_PROPITEMETC_INC_000256	Revenio Set (M)
IDS_PROPITEMETC_INC_000257	Revenio Set (F)
IDS_PROPITEMETC_INC_000258	Grim Set (M)
IDS_PROPITEMETC_INC_000259	Grim Set (F)
IDS_PROPITEMETC_INC_000260	Twilight Set (M)
IDS_PROPITEMETC_INC_000261	Twilight Set (F)
IDS_PROPITEMETC_INC_000262	Nanemvis Set (M)
IDS_PROPITEMETC_INC_000263	Nanemvis Set (F)
IDS_PROPITEMETC_INC_000264	Dryad Knight Set (M)
IDS_PROPITEMETC_INC_000265	Dryad Knight Set (F)
IDS_PROPITEMETC_INC_000266	Dryad Blade Set (M)
IDS_PROPITEMETC_INC_000267	Dryad Blade Set (F)
IDS_PROPITEMETC_INC_000268	Dryad Jester Set (M)
IDS_PROPITEMETC_INC_000269	Dryad Jester Set (F)
IDS_PROPITEMETC_INC_000270	Dryad Ranger Set (M)
IDS_PROPITEMETC_INC_000271	Dryad Ranger Set (F)
IDS_PROPITEMETC_INC_000272	Dryad Ringmaster Set (M)
IDS_PROPITEMETC_INC_000273	Dryad Ringmaster Set (F)
IDS_PROPITEMETC_INC_000274	Dryad Billposter Set (M)
IDS_PROPITEMETC_INC_000275	Dryad Billposter Set (F)
IDS_PROPITEMETC_INC_000276	Dryad Psykeeper Set (M)
IDS_PROPITEMETC_INC_000277	Dryad Psykeeper Set (F)
IDS_PROPITEMETC_INC_000278	Dryad Elementor Set (M)
IDS_PROPITEMETC_INC_000279	Dryad Elementor Set (F)
IDS_PROPITEMETC_INC_000280	Soul Ruby Set
IDS_PROPITEMETC_INC_000281	Soul Emerald Set
IDS_PROPITEMETC_INC_000282	Soul Sapphire Set
IDS_PROPITEMETC_INC_000283	Soul Diamond Set
IDS_PROPITEMETC_INC_000284
IDS_PROPITEMETC_INC_000285
IDS_PROPITEMETC_INC_000286	Angel Accessory Set
IDS_PROPITEMETC_INC_000287	2017 Angel Accessory Set
IDS_PROPITEMETC_INC_000288	Yggdrasil Templar Armor Set (M)
IDS_PROPITEMETC_INC_000289	Yggdrasil Templar Armor Set (F)
IDS_PROPITEMETC_INC_000290	Yggdrasil Slayer Armor Set (M)
IDS_PROPITEMETC_INC_000291	Yggdrasil Slayer Armor Set (F)
IDS_PROPITEMETC_INC_000292	Yggdrasil Crackshooter Armor Set (M)
IDS_PROPITEMETC_INC_000293	Yggdrasil Crackshooter Armor Set (F)
IDS_PROPITEMETC_INC_000294	Yggdrasil Harlequin Armor Set (M)
IDS_PROPITEMETC_INC_000295	Yggdrasil Harlequin Armor Set (F)
IDS_PROPITEMETC_INC_000296	Yggdrasil Seraph Armor Set (M)
IDS_PROPITEMETC_INC_000297	Yggdrasil Seraph Armor Set (F)
IDS_PROPITEMETC_INC_000298	Yggdrasil Force Master Armor Set (M)
IDS_PROPITEMETC_INC_000299	Yggdrasil Force Master Armor Set (F)
IDS_PROPITEMETC_INC_000300	Yggdrasil Mentalist Armor Set (M)
IDS_PROPITEMETC_INC_000301	Yggdrasil Mentalist Armor Set (F)
IDS_PROPITEMETC_INC_000302	Yggdrasil Arcanist Armor Set (M)
IDS_PROPITEMETC_INC_000303	Yggdrasil Arcanist Armor Set (F)
IDS_PROPITEMETC_INC_000304	Premium Rental Set (M)
IDS_PROPITEMETC_INC_000305	Premium Rental Set (F)
IDS_PROPITEMETC_INC_000306	Premium Luxury rental Set (M)
IDS_PROPITEMETC_INC_000307	Premium Luxury rental Set (F)
IDS_PROPITEMETC_INC_000308	
IDS_PROPITEMETC_INC_000309	
IDS_PROPITEMETC_INC_000310	
IDS_PROPITEMETC_INC_000311	
IDS_PROPITEMETC_INC_000312	Azurite Noble Set(M)
IDS_PROPITEMETC_INC_000313	Azurite Noble Set(F)
IDS_PROPITEMETC_INC_000314	Dark prince Set
IDS_PROPITEMETC_INC_000315	Dark princess Set
IDS_PROPITEMETC_INC_000316	Regal Set(M)
IDS_PROPITEMETC_INC_000317	Regal Set(F)
IDS_PROPITEMETC_INC_000318	Emerald Set(M)
IDS_PROPITEMETC_INC_000319	Emerald Set(F)
IDS_PROPITEMETC_INC_000320	Wees Rental Set
IDS_PROPITEMETC_INC_000321	Weeshian Rental Set 
IDS_PROPITEMETC_INC_000322	Dayst Rental Set 
IDS_PROPITEMETC_INC_000323	Dest Rental Set 
IDS_PROPITEMETC_INC_000324	Restra Rental Set 
IDS_PROPITEMETC_INC_000325	Rasra Rental Set 
IDS_PROPITEMETC_INC_000326	Asren Rental Set 
IDS_PROPITEMETC_INC_000327	Aren Rental Set 
IDS_PROPITEMETC_INC_000328	Shupon Rental Set 
IDS_PROPITEMETC_INC_000329	Shrian Rental Set 
IDS_PROPITEMETC_INC_000330	Akent Rental Set 
IDS_PROPITEMETC_INC_000331	Aken Rental Set 
IDS_PROPITEMETC_INC_000332	Geniun Rental Set 
IDS_PROPITEMETC_INC_000333	Gynas Rental Set 
IDS_PROPITEMETC_INC_000334	Elder Rental Set 
IDS_PROPITEMETC_INC_000335	Ellean Rental Set 
IDS_PROPITEMETC_INC_000336	Almight Dragon King Set (M)
IDS_PROPITEMETC_INC_000337	Almight Dragon King Set (F)
IDS_PROPITEMETC_INC_000338	2015 Casual Set (M)
IDS_PROPITEMETC_INC_000339	2015 Casual Set (F)
IDS_PROPITEMETC_INC_000340	Rudolph Accessory Set
IDS_PROPITEMETC_INC_000341	Snowbell's Accessory Set
IDS_PROPITEMETC_INC_000342	
IDS_PROPITEMETC_INC_000343	
IDS_PROPITEMETC_INC_000344	
IDS_PROPITEMETC_INC_000345	
IDS_PROPITEMETC_INC_000346	2019 Valentine Set
IDS_PROPITEMETC_INC_000347	Rising Sun (F) Set
IDS_PROPITEMETC_INC_000348	Rising Sun (M) Set
IDS_PROPITEMETC_INC_000349	FPC (F) Set
IDS_PROPITEMETC_INC_000350	FPC (M) Set
IDS_PROPITEMETC_INC_000351	Shower Set (M) (7 days)
IDS_PROPITEMETC_INC_000352	Shower Set (F) (7 days)
IDS_PROPITEMETC_INC_000353	Soccer Uniform (M) (7 days)
IDS_PROPITEMETC_INC_000354	Soccer Uniform (F) (7 days)
IDS_PROPITEMETC_INC_000355	Sul Bim (M) (7 days)
IDS_PROPITEMETC_INC_000356	Sul Bim (F) (7 days)
IDS_PROPITEMETC_INC_000357	Chinese New Year (M) (7 days)
IDS_PROPITEMETC_INC_000358	Chinese New Year (F) (7 days)
IDS_PROPITEMETC_INC_000359	Orange Beachwear (F) (7 days) 
IDS_PROPITEMETC_INC_000360	Red Beachwear (M)(7 days) 
IDS_PROPITEMETC_INC_000361	
IDS_PROPITEMETC_INC_000362	
IDS_PROPITEMETC_INC_000363	
IDS_PROPITEMETC_INC_000364	
IDS_PROPITEMETC_INC_000365	
IDS_PROPITEMETC_INC_000366	
IDS_PROPITEMETC_INC_000367	
IDS_PROPITEMETC_INC_000368	
IDS_PROPITEMETC_INC_000369	
IDS_PROPITEMETC_INC_000370	
IDS_PROPITEMETC_INC_000371	
IDS_PROPITEMETC_INC_000372	
IDS_PROPITEMETC_INC_000373	
IDS_PROPITEMETC_INC_000374	
IDS_PROPITEMETC_INC_000375	Set des Almighty Blood Dragon (M)
IDS_PROPITEMETC_INC_000376	Set des Almighty Blood Dragon (F)
IDS_PROPITEMETC_INC_000377	Set des Fierce Blood Dragon (M)
IDS_PROPITEMETC_INC_000378	Set des Fierce Blood Dragon (F)
IDS_PROPITEMETC_INC_000379	Set des Wise Blood Dragon (M)
IDS_PROPITEMETC_INC_000380	Set des Wise Blood Dragon (F)
IDS_PROPITEMETC_INC_000381	
IDS_PROPITEMETC_INC_000382	
IDS_PROPITEMETC_INC_000383	
IDS_PROPITEMETC_INC_000384	
IDS_PROPITEMETC_INC_000385	
IDS_PROPITEMETC_INC_000386	
IDS_PROPITEMETC_INC_000387	
IDS_PROPITEMETC_INC_000388	
IDS_PROPITEMETC_INC_000389	
IDS_PROPITEMETC_INC_000390	
IDS_PROPITEMETC_INC_000391	
IDS_PROPITEMETC_INC_000392	
IDS_PROPITEMETC_INC_000393	
IDS_PROPITEMETC_INC_000394	
IDS_PROPITEMETC_INC_000395	
IDS_PROPITEMETC_INC_000396	
IDS_PROPITEMETC_INC_000397	
IDS_PROPITEMETC_INC_000398	
IDS_PROPITEMETC_INC_000399	
IDS_PROPITEMETC_INC_000400	
IDS_PROPITEMETC_INC_000401	
IDS_PROPITEMETC_INC_000402	
IDS_PROPITEMETC_INC_000403	
IDS_PROPITEMETC_INC_000404	
IDS_PROPITEMETC_INC_000405	
IDS_PROPITEMETC_INC_000406	
IDS_PROPITEMETC_INC_000407	
IDS_PROPITEMETC_INC_000408	
IDS_PROPITEMETC_INC_000409	
IDS_PROPITEMETC_INC_000410	
IDS_PROPITEMETC_INC_000411	
IDS_PROPITEMETC_INC_000412	
IDS_PROPITEMETC_INC_000413	
IDS_PROPITEMETC_INC_000414	
IDS_PROPITEMETC_INC_000415	
IDS_PROPITEMETC_INC_000416	
IDS_PROPITEMETC_INC_000417	
IDS_PROPITEMETC_INC_000418	
IDS_PROPITEMETC_INC_000419	Gruseliges Ghastly Ghoul Set (M)
IDS_PROPITEMETC_INC_000420	Gruseliges Ghastly Ghoul Set (F)
IDS_PROPITEMETC_INC_000421	Furchbares Skeleton Set (M)
IDS_PROPITEMETC_INC_000422	Furchbares Skeleton Set (F)
IDS_PROPITEMETC_INC_000423	Ghastly Ghoul Set 7 days (M)
IDS_PROPITEMETC_INC_000424	Ghastly Ghoul Set 7 days (F)
IDS_PROPITEMETC_INC_000425	Ghastly Ghoul Set (M)
IDS_PROPITEMETC_INC_000426	Ghastly Ghoul Set (F)
IDS_PROPITEMETC_INC_000427	PPXP 2019 Door Prize Set (M)
IDS_PROPITEMETC_INC_000428	PPXP 2019 Door Prize Set (F)
IDS_PROPITEMETC_INC_000429	Lord Pang PPXP 2019 Door Prize Set (M)
IDS_PROPITEMETC_INC_000430	Lord Pang PPXP 2019 Door Prize Set (F)
IDS_PROPITEMETC_INC_000431	Christmas Dinner Set 2019
IDS_PROPITEMETC_INC_000432	Mistletoe Set 7 days (M)
IDS_PROPITEMETC_INC_000433	Mistletoe Set 7 days (F)
IDS_PROPITEMETC_INC_000434	2019 Mistletoe Set (M)
IDS_PROPITEMETC_INC_000435	2019 Mistletoe Set (F)
IDS_PROPITEMETC_INC_000436	
IDS_PROPITEMETC_INC_000437	
IDS_PROPITEMETC_INC_000438	
IDS_PROPITEMETC_INC_000439	
IDS_PROPITEMETC_INC_000440	
IDS_PROPITEMETC_INC_000441	
IDS_PROPITEMETC_INC_000442	
IDS_PROPITEMETC_INC_000443	
IDS_PROPITEMETC_INC_000444	2020 Shinigami Set (M)
IDS_PROPITEMETC_INC_000445	2020 Shinigami Set (F)
IDS_PROPITEMETC_INC_000446	
IDS_PROPITEMETC_INC_000447	
IDS_PROPITEMETC_INC_000448	
IDS_PROPITEMETC_INC_000449	
IDS_PROPITEMETC_INC_000450	2020 Whiteday Ring Set
IDS_PROPITEMETC_INC_000451	
IDS_PROPITEMETC_INC_000452	
IDS_PROPITEMETC_INC_000453	
IDS_PROPITEMETC_INC_000454	
IDS_PROPITEMETC_INC_000455	
IDS_PROPITEMETC_INC_000456	
IDS_PROPITEMETC_INC_000457	
IDS_PROPITEMETC_INC_000458	
IDS_PROPITEMETC_INC_000459	Road Hog S(F)
IDS_PROPITEMETC_INC_000460	Road Hog S(M)
IDS_PROPITEMETC_INC_000461	Frog Set 2020(F)
IDS_PROPITEMETC_INC_000462	Frog Set 2020(M)
IDS_PROPITEMETC_INC_000463	Frog Set 2020 30D(F)
IDS_PROPITEMETC_INC_000464	Frog Set 2020 30D(M)
IDS_PROPITEMETC_INC_000465	Muaythai 30D(F)
IDS_PROPITEMETC_INC_000466	Muaythai 30D(M)
IDS_PROPITEMETC_INC_000467	Kung Fu 30D(F)
IDS_PROPITEMETC_INC_000468	Kung Fu 30D(M)
IDS_PROPITEMETC_INC_000469	Ninja Set 30D(F)
IDS_PROPITEMETC_INC_000470	Ninja Set 30D(M)
IDS_PROPITEMETC_INC_000471	2020 Rabbit Set (M)
IDS_PROPITEMETC_INC_000472	2020 Rabbit Set (F)
IDS_PROPITEMETC_INC_000473	2020 Rabbit Set (M)
IDS_PROPITEMETC_INC_000474	2020 Rabbit Set (F)
IDS_PROPITEMETC_INC_000475	
IDS_PROPITEMETC_INC_000476	
IDS_PROPITEMETC_INC_000477	
IDS_PROPITEMETC_INC_000478	
IDS_PROPITEMETC_INC_000479	
IDS_PROPITEMETC_INC_000480	
IDS_PROPITEMETC_INC_000481	
IDS_PROPITEMETC_INC_000482	
IDS_PROPITEMETC_INC_000483	Set of the Almighty Meteonyker (M)
IDS_PROPITEMETC_INC_000484	Set of the Almighty Meteonyker (F)
IDS_PROPITEMETC_INC_000485	Set of the Fierce Meteonyker (M)
