1//		이름	기본생성	최대겹침	1차아이템종류	2차아이템종류	3차아이템종류	아이템직업소속	소비불가	사용가능	사용성별	가격	내구력	마모도	수리회수	잡는형식	속성	장착위치	장착위치	파츠파일	제거될위치	기본부위	아이템	희귀성	상점	로그	상용화	필요	필요	최소능력	최대능력	공격속성	속성	회피율	블럭율	추가스킬	추가스킬	공격스타일	무기종류	아이템1차공격순서	아이템2차공격순서	아이템3차공격순서	아이템4차공격순서	지속피해	최대장전개수	반동	장전시간	추가공격성공률	공격속도	타격시 반동	공격범위	적용확률	적용대상1	적용대상2	적용대상3	적용대상4	적용대상5	적용대상6	적용값1	적용값2	적용값3	적용값4	적용값5	적용값6	적용변화1	적용변화2	적용변화3	적용변화4	적용변화5	적용변화6	참조값 1	참조값 2	참조값 3	참조값 4	참조값 5	참조값 6	발동 마법	발동 레벨	마법 확률	필요MP	필요EP	학과	선행스킬	선행스킬1	선행스킬2	선행스킬2	기술	기술	기술	원소이펙트	사용 효과	효과 2	효과 3 	효과 4	효과 5	사용 모션	유지시간	지속시간	발동대상	사용시기	마법범위	마법속성	무기종류	보석옵션	변환될무기설정	변환될확률설정	레드칩	참조수치2	기술속성	전기저항	불저항	바람저항	물저항	땅저항	악행	숙련레벨	최대	서브디파인	현재경험치	연속기술	비행속도	비행선회각	비행선회각	비행제한	비행연료	가속연료	팩당연료	제한레벨1	반사광	공격음1(무기 타격음)	공격음2(무기 크리티컬)	아이콘파일	퀘스트 ID	텍스트 파일명	설명	최소사용	최대사용	아이템	사용제한	중첩사용	효과적용수치	사용대상	사용대상	귀속해제	귀속여부	귀속해제	타격시	발동 레벨	마법확률	대상	피격시	발동레벨	마법확률	대상	착용시	발동레벨	제련가능	속성제련	보석제련	피어싱	각성	아이템시간	아이템 등급	거래가능	아이템 분류1차	아이템 분류 2차	서버이동	물약저장	외형적용	외형추출
6	II_WEA_AXE_CORIN	IDS_PROPITEM_TXT_000156	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	66900	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	40	40	1	1	0	=	=	118	126	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	40	=	SND_PC_DMGSWDM	SND_PC_DMGSWDC	"""itm_WeaAxeBattle.dds"""	0	""""""	IDS_PROPITEM_TXT_000157	40	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_CROW	IDS_PROPITEM_TXT_000160	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	88000	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	44	44	1	1	0	=	=	130	138	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	40	=	SND_PC_DMGSWDM	SND_PC_DMGSWDC	"""itm_WeaAxeAction.dds"""	0	""""""	IDS_PROPITEM_TXT_000161	40	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_RAPTOR	IDS_PROPITEM_TXT_000164	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	153300	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	48	48	1	1	0	=	=	144	152	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	47	=	SND_PC_DMGSWDM	SND_PC_DMGSWDC	"""itm_WeaAxeWar.dds"""	0	""""""	IDS_PROPITEM_TXT_000165	47	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_BERK	IDS_PROPITEM_TXT_000168	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	200500	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	52	52	1	1	0	=	=	148	156	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	47	=	SND_PC_DMGSWDM	SND_PC_DMGSWDC	"""itm_WeaAxeZailon.dds"""	0	""""""	IDS_PROPITEM_TXT_000169	47	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_ARDALIN	IDS_PROPITEM_TXT_000172	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	274000	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	56	56	1	1	0	=	=	162	170	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	55	=	SND_PC_DMGSWDH	SND_PC_DMGSWDC	"""itm_WeaAxeForge.dds"""	0	""""""	IDS_PROPITEM_TXT_000173	55	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_DOLPHIN	IDS_PROPITEM_TXT_000176	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	448300	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	60	60	1	1	0	=	=	166	174	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	55	=	SND_PC_DMGSWDH	SND_PC_DMGSWDC	"""itm_WeaAxeGalaxy.dds"""	0	""""""	IDS_PROPITEM_TXT_000177	55	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_BONEBAR	IDS_PROPITEM_TXT_000180	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	626800	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	65	65	1	1	0	=	=	198	206	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	II_WEA_AXE_SUHO	20000	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	64	=	SND_PC_DMGSWDH	SND_PC_DMGSWDC	"""itm_WeaAxeRibten.dds"""	0	""""""	IDS_PROPITEM_TXT_000181	64	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_LUXIOR	IDS_PROPITEM_TXT_000184	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	1126600	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	70	70	1	1	0	=	=	219	227	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	II_WEA_AXE_SUHO	25000	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	70	=	SND_PC_DMGSWDH	SND_PC_DMGSWDC	"""itm_WeaAxeCantes.dds"""	0	""""""	IDS_PROPITEM_TXT_000185	70	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_EXHOUST	IDS_PROPITEM_TXT_000188	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	1731400	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	76	76	1	1	0	=	=	235	243	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	II_WEA_AXE_USU	15000	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	75	=	SND_PC_DMGSWDH	SND_PC_DMGSWDC	"""itm_WeaAxeStormp.dds"""	0	""""""	IDS_PROPITEM_TXT_000189	75	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_SHAKYFIN	IDS_PROPITEM_TXT_000192	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	2963100	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	80	80	1	1	0	=	=	263	271	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	II_WEA_AXE_USU	20000	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	80	=	SND_PC_DMGSWDH	SND_PC_DMGSWDC	"""itm_WeaAxeNeedre.dds"""	0	""""""	IDS_PROPITEM_TXT_000193	80	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
